pl_name,hostname,default_flag,sy_snum,sy_pnum,disc_year,soltype,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_met,st_meterr1,st_meterr2,st_metlim,st_lum,st_lumerr1,st_lumerr2,st_lumlim,sy_dist,sy_disterr1,sy_disterr2,releasedate
CoRoT-29 b,CoRoT-29,0,1,1,2015,Published Confirmed,0,2.8505615,7.2e-06,-7.2e-06,0.0,2.3,0.37,-0.22,0.0,0.20519226,0.03300919,-0.01962712,0.0,190.53508499999998,17.162776989999998,-15.8915,0.0,0.6,0.054,-0.05,0.0,,797.0,21.0,-20.0,0.0,,5268.0,123.0,-123.0,0.0,-0.0039,0.12,-0.14,0.0,-0.09414,0.0233,-0.02263,0.0,806.507,44.027,-39.76,2016-02-25
EPIC 220554210 c,K2-282,0,1,2,2019,Published Confirmed,0,0.70531,5e-05,-5e-05,0.0,1.48,0.13,-0.1,0.0,0.13203676,0.01159782,-0.0089214,0.0,190.53508499999998,17.162776989999998,-15.8915,0.0,0.6,0.054,-0.05,0.0,,797.0,21.0,-20.0,0.0,,5613.0,113.0,-117.0,0.0,-0.0039,0.12,-0.14,0.0,-0.08221,0.0233,-0.02263,0.0,496.289,7.902,-7.663,2019-06-13
EPIC 220554210 c,K2-282,0,1,2,2019,Published Candidate,0,0.705386,5.2e-05,-4.9e-05,0.0,1.73,0.15,-0.3,0.0,0.154,0.013,-0.03,0.0,190.53508499999998,17.162776989999998,-15.8915,0.0,0.6,0.054,-0.05,0.0,,797.0,21.0,-20.0,0.0,,5613.0,113.0,-117.0,0.0,-0.0039,0.12,-0.14,0.0,-0.08221,0.0233,-0.02263,0.0,496.289,7.902,-7.663,2019-09-05
EPIC 220674823 b,EPIC 220674823,0,1,2,2016,Published Candidate,0,0.571336,2e-05,-2.1e-05,0.0,1.8,0.3,-0.1,0.0,0.16,0.03,-0.01,0.0,190.53508499999998,17.162776989999998,-15.8915,0.0,0.6,0.054,-0.05,0.0,,797.0,21.0,-20.0,0.0,,5613.0,113.0,-117.0,0.0,-0.0039,0.12,-0.14,0.0,-0.08221,0.0233,-0.02263,0.0,244.59,3.044,-2.972,2017-12-14
EPIC 220674823 b,EPIC 220674823,0,1,2,2016,Published Candidate,0,0.571285,9.5e-06,-1.01e-05,0.0,1.816,0.087,-0.188,0.0,0.162,0.0078,-0.0168,0.0,190.53508499999998,17.162776989999998,-15.8915,0.0,0.6,0.054,-0.05,0.0,,797.0,21.0,-20.0,0.0,,5613.0,113.0,-117.0,0.0,-0.0039,0.12,-0.14,0.0,-0.08221,0.0233,-0.02263,0.0,244.59,3.044,-2.972,2019-09-05
GJ 357 b,GJ 357,0,1,3,2019,Published Confirmed,0,10.3385215,3.824e-05,-3.826e-05,0.0,2.3,0.37,-0.22,0.0,0.20519226,0.03300919,-0.01962712,0.0,190.53508499999998,17.162776989999998,-15.8915,0.0,0.6,0.054,-0.05,0.0,,797.0,21.0,-20.0,0.0,,5613.0,113.0,-117.0,0.0,-0.0039,0.12,-0.14,0.0,-0.08221,0.0233,-0.02263,0.0,9.44181,0.00511,-0.00511,2025-11-13
HAT-P-31 b,HAT-P-31,0,1,1,2011,Published Confirmed,0,5.0052704,4e-06,-4e-06,0.0,2.3,0.37,-0.22,0.0,0.20519226,0.03300919,-0.01962712,0.0,190.53508499999998,17.162776989999998,-15.8915,0.0,0.6,0.054,-0.05,0.0,,797.0,21.0,-20.0,0.0,,5613.0,113.0,-117.0,0.0,-0.0039,0.12,-0.14,0.0,-0.08221,0.0233,-0.02263,0.0,344.05,2.913,-2.865,2022-10-18
HAT-P-34 b,HAT-P-34,0,1,1,2011,Published Confirmed,0,10.3385215,3.824e-05,-3.826e-05,0.0,2.3,0.37,-0.22,0.0,0.20519226,0.03300919,-0.01962712,0.0,190.53508499999998,17.162776989999998,-15.8915,0.0,0.6,0.054,-0.05,0.0,,797.0,21.0,-20.0,0.0,,5613.0,113.0,-117.0,0.0,-0.0039,0.12,-0.14,0.0,-0.08221,0.0233,-0.02263,0.0,249.325,2.804,-2.744,2019-12-05
HAT-P-34 b,HAT-P-34,0,1,1,2011,Published Confirmed,0,5.4526576,9.1e-06,-9.1e-06,0.0,2.3,0.37,-0.22,0.0,0.20519226,0.03300919,-0.01962712,0.0,190.53508499999998,17.162776989999998,-15.8915,0.0,0.6,0.054,-0.05,0.0,,797.0,21.0,-20.0,0.0,,5613.0,113.0,-117.0,0.0,-0.0039,0.12,-0.14,0.0,-0.08221,0.0233,-0.02263,0.0,249.325,2.804,-2.744,2022-10-18
HAT-P-36 b,HAT-P-36,0,1,1,2011,Published Confirmed,0,1.32734686,1.3e-07,-1.3e-07,0.0,2.3,0.37,-0.22,0.0,0.20519226,0.03300919,-0.01962712,0.0,190.53508499999998,17.162776989999998,-15.8915,0.0,0.6,0.054,-0.05,0.0,,797.0,21.0,-20.0,0.0,,5613.0,113.0,-117.0,0.0,-0.0039,0.12,-0.14,0.0,-0.08221,0.0233,-0.02263,0.0,294.419,2.269,-2.235,2022-10-18
HAT-P-36 b,HAT-P-36,0,1,1,2011,Published Confirmed,0,1.3273468,4e-07,-4e-07,0.0,2.3,0.37,-0.22,0.0,0.20519226,0.03300919,-0.01962712,0.0,190.53508499999998,17.162776989999998,-15.8915,0.0,0.6,0.054,-0.05,0.0,,797.0,21.0,-20.0,0.0,,5620.0,40.0,-40.0,0.0,-0.0039,0.12,-0.14,0.0,-0.08221,0.0233,-0.02263,0.0,294.419,2.269,-2.235,2022-05-03
HAT-P-37 b,HAT-P-37,0,1,1,2011,Published Confirmed,0,2.7974414,1.1e-06,-1.1e-06,0.0,2.3,0.37,-0.22,0.0,0.20519226,0.03300919,-0.01962712,0.0,190.53508499999998,17.162776989999998,-15.8915,0.0,0.6,0.054,-0.05,0.0,,797.0,21.0,-20.0,0.0,,5613.0,113.0,-117.0,0.0,-0.0039,0.12,-0.14,0.0,-0.08221,0.0233,-0.02263,0.0,390.594,2.723,-2.686,2022-10-18
HAT-P-38 b,HAT-P-38,0,1,1,2012,Published Confirmed,0,4.6403276,2.2e-06,-2.2e-06,0.0,2.3,0.37,-0.22,0.0,0.20519226,0.03300919,-0.01962712,0.0,190.53508499999998,17.162776989999998,-15.8915,0.0,0.6,0.054,-0.05,0.0,,797.0,21.0,-20.0,0.0,,5613.0,113.0,-117.0,0.0,-0.0039,0.12,-0.14,0.0,-0.08221,0.0233,-0.02263,0.0,255.206,2.473,-2.427,2022-10-18
HAT-P-40 b,HAT-P-40,0,1,1,2012,Published Confirmed,0,4.4572181,1.3e-06,-1.3e-06,0.0,2.3,0.37,-0.22,0.0,0.20519226,0.03300919,-0.01962712,0.0,190.53508499999998,17.162776989999998,-15.8915,0.0,0.6,0.054,-0.05,0.0,,797.0,21.0,-20.0,0.0,,5613.0,113.0,-117.0,0.0,-0.0039,0.12,-0.14,0.0,-0.08221,0.0233,-0.02263,0.0,464.469,6.537,-6.361,2022-10-18
HAT-P-42 b,HAT-P-42,0,1,1,2012,Published Confirmed,0,4.6418402,1.6e-06,-1.6e-06,0.0,2.3,0.37,-0.22,0.0,0.20519226,0.03300919,-0.01962712,0.0,190.53508499999998,17.162776989999998,-15.8915,0.0,0.6,0.054,-0.05,0.0,,797.0,21.0,-20.0,0.0,,5613.0,113.0,-117.0,0.0,-0.0039,0.12,-0.14,0.0,-0.08221,0.0233,-0.02263,0.0,405.238,7.779,-7.496,2022-10-18
